Timestamp,Class_ID,Label,Velocity (pixels/sec)
21.0126,0,Drumstick-Heads,4124.06
21.2439,0,Drumstick-Heads,1593.72
21.3673,0,Drumstick-Heads,445.71
21.5836,0,Drumstick-Heads,1610.27
21.6918,0,Drumstick-Heads,583.97
21.8005,0,Drumstick-Heads,738.94
21.9095,0,Drumstick-Heads,34.95
22.1270,0,Drumstick-Heads,739.47
22.2358,0,Drumstick-Heads,387.45
22.3454,0,Drumstick-Heads,364.98
22.4533,0,Drumstick-Heads,701.60
22.5617,0,Drumstick-Heads,219.35
22.6720,0,Drumstick-Heads,40.52
22.7788,0,Drumstick-Heads,23.42
22.8866,0,Drumstick-Heads,3779.10
22.9955,0,Drumstick-Heads,70.04
23.1058,0,Drumstick-Heads,3495.42
23.2137,0,Drumstick-Heads,20.71
23.3224,0,Drumstick-Heads,4.60
23.4317,0,Drumstick-Heads,3237.49
23.5408,0,Drumstick-Heads,3307.82
23.6489,0,Drumstick-Heads,106.81
23.7569,0,Drumstick-Heads,701.07
23.8640,0,Drumstick-Heads,3368.50
23.9736,0,Drumstick-Heads,780.47
24.0819,0,Drumstick-Heads,3410.87
24.5179,0,Drumstick-Heads,1030.95
24.6261,0,Drumstick-Heads,514.71
25.0606,0,Drumstick-Heads,214.57
25.1688,0,Drumstick-Heads,876.26
25.2778,0,Drumstick-Heads,3885.94
25.3874,0,Drumstick-Heads,4375.41
25.4961,0,Drumstick-Heads,405.78
25.7137,0,Drumstick-Heads,1592.73
25.8226,0,Drumstick-Heads,4212.33
26.0387,0,Drumstick-Heads,1737.77
26.1488,0,Drumstick-Heads,358.85
26.2568,0,Drumstick-Heads,338.24
26.3659,0,Drumstick-Heads,2571.68
26.6918,0,Drumstick-Heads,505.67
26.9086,0,Drumstick-Heads,1607.00
27.0168,0,Drumstick-Heads,3992.71
27.2355,0,Drumstick-Heads,1258.60
27.3440,0,Drumstick-Heads,123.72
27.5628,0,Drumstick-Heads,1531.54
27.6730,0,Drumstick-Heads,2875.06
27.7813,0,Drumstick-Heads,2530.47
28.2146,0,Drumstick-Heads,737.88
28.3239,0,Drumstick-Heads,265.85
28.4327,0,Drumstick-Heads,283.35
28.5417,0,Drumstick-Heads,950.54
28.7571,0,Drumstick-Heads,1646.28
28.8646,0,Drumstick-Heads,604.17
29.0813,0,Drumstick-Heads,876.37
29.1886,0,Drumstick-Heads,2826.72
29.4088,0,Drumstick-Heads,626.78
29.6261,0,Drumstick-Heads,656.37
29.8447,0,Drumstick-Heads,1884.99
30.0619,0,Drumstick-Heads,988.54
30.2805,0,Drumstick-Heads,1934.67
31.2577,0,Drumstick-Heads,395.03
31.3678,0,Drumstick-Heads,573.31
31.4769,0,Drumstick-Heads,293.12
31.5849,0,Drumstick-Heads,4246.71
31.6931,0,Drumstick-Heads,4134.09
32.0224,0,Drumstick-Heads,1172.70
32.1297,0,Drumstick-Heads,2285.35
32.3477,0,Drumstick-Heads,814.15
32.4560,0,Drumstick-Heads,741.22
32.5649,0,Drumstick-Heads,415.16
32.6725,0,Drumstick-Heads,250.31
32.7804,0,Drumstick-Heads,361.37
32.8885,0,Drumstick-Heads,210.65
32.9975,0,Drumstick-Heads,9.17
33.1070,0,Drumstick-Heads,86.91
33.2155,0,Drumstick-Heads,18.42
33.3249,0,Drumstick-Heads,4.57
33.4334,0,Drumstick-Heads,6.51
33.5414,0,Drumstick-Heads,6.55
33.6501,0,Drumstick-Heads,13.01
33.7575,0,Drumstick-Heads,23.29
33.8662,0,Drumstick-Heads,29.07
33.9763,0,Drumstick-Heads,27.64
34.0860,0,Drumstick-Heads,20.38
34.1954,0,Drumstick-Heads,12.93
34.3039,0,Drumstick-Heads,6.51
34.3987,0,Drumstick-Heads,0.00
34.5063,0,Drumstick-Heads,19.16
34.6160,0,Drumstick-Heads,9.12
34.7249,0,Drumstick-Heads,4.59
34.8332,0,Drumstick-Heads,10.32
